,TP53 (M),KRAS (M),EGFR (M),STK11 (M),KEAP1 (M),RBM10 (M),SMARCA4 (M),ATM (M),NF1 (M),PTPRD (M),Seeding
0,0.6205937274168825,2.1080342741878186,3.255956047744477,0.8813883289451767,0.31033102718355327,0.1738514673098206,-0.4569868478346383,0.16298094534638996,1.2827013858451315,0.4041639987721687,0.3500949494101846
1,0.36241351192559607,0.4159124406820051,1.2550756930323355,0.045239457566310155,0.024705658103459587,0.0008214267461909962,0.009143043829870112,0.1194109831243416,0.005303316389722276,-0.00019822228633357216,0.9420829500739694
2,0.7386994434468938,-0.12975668604141194,0.2606703761051827,-0.923608816981744,-0.04852954315569969,-0.5405452246053941,-0.24331712497639926,-0.625503919434777,0.13871689949479515,0.2308597739357829,-0.045056165526977617
3,-0.6561130880364363,0.7528946625448304,-3.2255471437256475,0.4778010630870909,-0.5243437232699244,0.05981314517799417,-0.6091325045381119,0.5109235538053657,-0.43481046010396424,-0.12964312185921123,0.04763859744726708
4,0.3724843385535799,-3.559183614233353,0.39523426902166414,-2.3115167664002856,-1.8392130350872635,0.9854161434114723,0.008664396013099186,-0.3241724891185608,-1.5362851639456774,-1.8462872256172498,0.3494697696265044
5,-0.8929936540956873,0.5106436548733347,-1.3896373475674721,-0.46685791545145977,1.413841402698137,0.02186759585486955,0.3137791596626924,0.10720897263233128,-1.0522392690702418,0.4935755419231023,-0.6836150753706828
6,-0.1369252139393948,0.2889047491459477,-1.2657125313891826,1.849989247204517,-1.3339108726495994,-0.5185087769029265,1.0302239949335585,-0.4099359124699465,-0.3304839936662411,0.4688818259666867,0.009057395910582203
7,-0.7911241835658658,0.4154357293719939,0.6292306855494786,-0.52918733320479,-0.3083956825012726,-0.3240793046348415,-0.36324018726139395,0.5788644371488999,0.3894056753417213,-0.562462306235528,-0.9497537587959733
8,-0.256411835372679,-0.04846338222193082,0.2937641518674341,0.9332222738839221,0.954293729639875,-0.2920490286652563,-1.930652668515744,0.06108120975159616,-0.026656165497272823,-0.24423104822483604,-0.172582818936219
9,-0.5694599796348291,0.7787936993474567,0.1306157121729987,-0.15025104178484838,-0.047040419782088,0.8752209979569768,0.19727550676417405,-1.5642774642011874,-0.17765159909968462,-0.22333930556384568,-0.4775055922946976
10,0.38010374442350386,-0.10332019976133791,-0.8196177158268441,-1.0742855417523145,-0.2357684069491804,0.5188914453178035,0.09222314080984165,0.05625748332015675,-1.4545460145466858,0.3505371705726805,-0.3257951062072383
11,0.37771446736767933,0.377608772247088,-0.6438324778809288,0.4132207163311232,0.26820707401245353,-0.34918107454341274,-0.08447571419953892,0.04323619292107539,0.5738495820588622,-1.7461997347388445,-0.36898808856750814
12,0.5308629083353155,-0.8014050138966955,0.17716412269694504,-0.13207462486811467,-0.013774429751728996,-0.9352793524541915,0.2747475964321905,-0.12972606406206835,-0.31335793808356605,-0.3102185245930897,-0.03251772356396979
