,TP53 (M),KRAS (M),EGFR (M),STK11 (M),KEAP1 (M),RBM10 (M),SMARCA4 (M),ATM (M),NF1 (M),PTPRD (M),Seeding
0,0.6205937274168438,2.1080342741878404,3.255956047744455,0.8813883289451747,0.31033102718355515,0.17385146730981582,-0.4569868478346481,0.16298094534644106,1.282701385845134,0.4041639987721678,0.3500949494101709
1,0.36241351192558297,0.4159124406820088,1.255075693032341,0.045239457566315255,0.024705658103461335,0.0008214267461681074,0.009143043829849352,0.11941098312434453,0.00530331638970454,-0.00019822228640125776,0.9420829500739886
2,0.7386994434469356,-0.12975668604139237,0.260670376105184,-0.9236088169817417,-0.048529543155706595,-0.5405452246053825,-0.24331712497640173,-0.6255039194347797,0.13871689949479454,0.23085977393578447,-0.045056165526990107
3,-0.6561130880364681,0.7528946625448947,-3.2255471437256427,0.47780106308709813,-0.5243437232699201,0.059813145177987484,-0.6091325045381162,0.5109235538053699,-0.43481046010396596,-0.1296431218592159,0.04763859744727617
4,0.37248433855362606,-3.559183614233358,0.39523426902173897,-2.3115167664003016,-1.8392130350872742,0.9854161434114797,0.008664396013106989,-0.3241724891185499,-1.5362851639456963,-1.8462872256172762,0.34946976962651505
5,-0.8929936540956831,0.5106436548733234,-1.3896373475674781,-0.4668579154514769,1.4138414026981265,0.021867595854873165,0.3137791596626908,0.10720897263234364,-1.0522392690702624,0.4935755419231095,-0.6836150753706911
6,-0.13692521393939283,0.2889047491459445,-1.2657125313891935,1.8499892472045227,-1.333910872649614,-0.5185087769029363,1.0302239949335743,-0.40993591246995775,-0.33048399366624626,0.4688818259666941,0.009057395910578053
7,-0.7911241835658686,0.41543572937199114,0.6292306855494715,-0.5291873332048012,-0.30839568250127253,-0.3240793046348642,-0.3632401872614026,0.5788644371489038,0.3894056753417274,-0.562462306235539,-0.949753758795982
8,-0.2564118353726934,-0.048463382221938425,0.2937641518674473,0.9332222738839288,0.9542937296398819,-0.2920490286652665,-1.9306526685157703,0.06108120975159828,-0.02665616549727523,-0.24423104822484537,-0.17258281893623553
9,-0.5694599796348349,0.7787936993474567,0.13061571217300771,-0.15025104178485318,-0.047040419782086104,0.8752209979569865,0.19727550676417827,-1.564277464201201,-0.17765159909968967,-0.2233393055638498,-0.47750559229470707
10,0.38010374442350575,-0.10332019976134042,-0.8196177158268546,-1.0742855417523365,-0.23576840694918402,0.5188914453178117,0.09222314080984521,0.05625748332015855,-1.4545460145466866,0.3505371705726862,-0.3257951062072464
11,0.3777144673676771,0.3776087722470881,-0.6438324778809357,0.4132207163311257,0.2682070740124544,-0.34918107454342157,-0.08447571419954268,0.043236192921076964,0.5738495820588729,-1.7461997347388507,-0.36898808856752063
12,0.5308629083353432,-0.8014050138967059,0.17716412269695322,-0.13207462486810762,-0.013774429751724231,-0.9352793524541972,0.2747475964321937,-0.12972606406206313,-0.3133579380835655,-0.3102185245930909,-0.032517723564024964
